page,Country,Genre,Released,imdbRating,Runtime,Language,Type,imdbVotes
AdamAdamantLives,UK,"Adventure, Sci-Fi",03 Jun 1966,6.8,50 min,English,series,116
Smallville,"USA, Canada","Adventure, Drama, Romance",16 Oct 2001,7.5,60 min,English,series,"89,719"
TooCloseForComfort,USA,Comedy,11 Nov 1980,6.5,30 min,English,series,996
JonathanCreek,UK,"Crime, Drama, Mystery",10 May 1997,8.2,120 min,English,series,"4,525"
TheManyLovesOfDobieGillis,USA,"Comedy, Family",29 Sep 1959,7.9,30 min,English,series,883
Noob,France,Comedy,07 Nov 2008,7.6,6 min,French,series,59
WelcomeBackKotter,USA,Comedy,09 Sep 1975,7.2,30 min,English,series,"2,921"
Brimstone,USA,"Fantasy, Horror, Mystery",23 Oct 1998,8.2,60 min,English,series,"1,252"
TheNakedTruth,USA,Comedy,13 Sep 1995,7.1,30 min,English,series,525
YoungHercules,USA,"Action, Family, Fantasy",12 Sep 1998,5.7,30 min,English,series,954
LosUnicos,Argentina,"Action, Comedy, Romance",07 Feb 2011,6.2,60 min,Spanish,series,57
MurdochMysteries,"Canada, UK","Crime, Drama, Mystery",06 Jun 2009,8.0,48 min,English,series,"4,516"
Porridge,UK,Comedy,05 Sep 1974,8.3,45 min,English,series,"3,148"
AlfredHitchcockPresents,USA,"Crime, Drama, Mystery",02 Oct 1955,8.7,25 min,English,series,"6,788"
Combat,UK,"Short, Comedy, Drama",N/A,5.2,8 min,English,movie,149
HarryHillsTVBurp,N/A,Comedy,30 Dec 2006,N/A,23 min,N/A,episode,N/A
TheDresdenFiles,"Canada, USA","Action, Crime, Drama",21 Jan 2007,7.8,60 min,English,series,"7,055"
MasterChef,Israel,Reality-TV,14 Oct 2010,7.7,N/A,Hebrew,series,106
Parenthood,USA,"Comedy, Drama",02 Aug 1989,7.0,124 min,English,movie,"33,843"
ImACelebrityGetMeOutOfHere,UK,"Adventure, Comedy, Reality-TV",25 Aug 2002,5.6,60 min,English,series,"1,219"
WhoseLineIsItAnyway,"USA, UK","Comedy, Game-Show",05 Aug 1998,8.7,30 min,English,series,"25,661"
ScarecrowAndMrsKing,USA,Adventure,03 Oct 1983,7.2,60 min,English,series,"1,241"
PitBoss,USA,Reality-TV,16 Jan 2010,6.4,N/A,English,series,357
BattlestarGalacticaReimagined,USA,"Action, Adventure, Drama",14 Jan 2005,8.8,44 min,English,series,"109,885"
AroundTheHorn,USA,"Sport, Talk-Show",28 Oct 2002,7.7,30 min,English,series,616
JohnAdams,USA,"Biography, Drama, History",16 Mar 2008,8.7,501 min,English,series,"16,574"
HeartsAfire,USA,"Comedy, Romance",14 Sep 1992,7.2,30 min,English,series,177
Room101,USA,Thriller,29 Mar 2002,6.8,112 min,English,movie,"191,438"
TwentyFour,UK,"Comedy, Drama, Romance",01 May 1998,7.1,96 min,English,movie,"1,987"
BronBroen,Sweden,Documentary,25 Apr 2014,N/A,56 min,Swedish,movie,N/A
TheCrossWits,USA,Game-Show,15 Dec 1975,8.4,30 min,English,series,5
ArthurOfTheBritons,UK,Adventure,06 Dec 1972,8.4,30 min,English,series,91
Titus,"Italy, USA, UK","Drama, History, Thriller",11 Feb 2000,7.3,162 min,"English, Latin",movie,"16,637"
Blade,USA,"Action, Horror",21 Aug 1998,7.1,120 min,"English, Russian",movie,"174,609"
ThreesCompany,N/A,Reality-TV,06 Aug 2012,N/A,N/A,N/A,episode,N/A
NightVisions,"Canada, USA","Fantasy, Horror, Mystery",12 Jul 2001,7.6,43 min,English,series,489
GimmeGimmeGimme,UK,Comedy,08 Jan 1999,7.5,34 min,English,series,"1,219"
HiDeHi,UK,Comedy,01 Jan 1980,6.8,60 min,English,series,496
OpenAllHours,UK,Comedy,20 Feb 1976,7.7,30 min,English,series,"2,669"
DontTrustTheBInApartment23,USA,Comedy,11 Apr 2012,7.2,22 min,English,series,"22,254"
TheComicStripPresents,UK,Comedy,02 Nov 1982,8.1,N/A,English,series,675
DangerMan,UK,"Action, Adventure, Crime",11 Sep 1960,8.1,24 min,English,series,488
XenaWarriorPrincess,USA,"Documentary, Short",08 Mar 2005,8.9,31 min,English,movie,59
Trollied,UK,Comedy,04 Aug 2011,7.4,26 min,English,series,"1,218"
NewsRadio,USA,Talk-Show,01 Oct 2009,N/A,N/A,English,series,N/A
VidasRobadas,Argentina,"Drama, Mystery, Romance",03 Mar 2008,7.9,60 min,Spanish,series,70
LessThanPerfect,USA,Comedy,01 Oct 2002,7.1,30 min,English,series,"2,391"
ModernFamily,USA,Comedy,23 Sep 2009,8.6,22 min,English,series,"208,346"
SamanthaWho,USA,"Comedy, Mystery, Romance",15 Oct 2007,7.4,22 min,English,series,"8,243"
TodaysSpecial,USA,Comedy,11 Nov 2009,6.9,99 min,English,movie,"1,661"
FindersKeepers,USA,Thriller,18 Oct 2014,4.4,N/A,English,movie,"1,191"
Chase,USA,"Action, Crime, Drama",20 Sep 2010,7.0,60 min,English,series,"2,737"
Merlin,UK,"Adventure, Drama, Fantasy",21 Jun 2009,7.9,45 min,English,series,"51,711"
PhoenixNights,UK,Comedy,14 Jan 2001,8.4,25 min,English,series,"3,300"
TalesFromTheDarkside,USA,"Fantasy, Horror, Thriller",30 Sep 1984,7.7,30 min,English,series,"3,018"
Rev,"Spain, South Korea, Vietnam","Short, Drama, Mystery",N/A,N/A,21 min,Spanish,movie,N/A
TheFreshPrinceOfBelAir,USA,Comedy,10 Sep 1990,8.0,22 min,English,series,"81,396"
AntiquesRoadShow,USA,N/A,09 Jan 1997,7.4,N/A,English,series,624
AnimalPlanetHeroes,USA,Documentary,24 Nov 2005,8.2,N/A,English,movie,6
ItsMeOrTheDog,N/A,Reality-TV,N/A,6.9,N/A,N/A,series,37
GoodnightSweetheart,UK,"Comedy, Drama, Fantasy",18 Nov 1993,7.7,30 min,English,series,"1,209"
Reno911,USA,Drama,01 Dec 1939,5.9,73 min,English,movie,61
HimAndHer,South Korea,"Short, Drama",01 Apr 2013,N/A,8 min,Korean,movie,N/A
FridayNightDinner,UK,Comedy,25 Feb 2011,8.0,24 min,English,series,"4,037"
LifeWithDerek,Canada,"Comedy, Drama, Family",18 Sep 2005,7.6,22 min,"English, French, Spanish",series,"3,809"
NoHeroics,UK,Comedy,18 Sep 2008,7.7,N/A,English,series,569
TheStoryteller,UK,Fantasy,28 Apr 1989,8.9,225 min,English,series,"2,703"
BlackAndWhiteTW,"Australia, UK",Drama,31 Oct 2002,6.7,99 min,English,movie,606
JimRomeIsBurning,USA,"Sport, Talk-Show",06 May 2003,5.5,N/A,English,series,245
ItTakesAThief,USA,"Adventure, Crime, Drama",09 Jan 1968,7.9,51 min,English,series,987
